ID,Site,GENSPE,FAM,TL,W,TUBE_g,TUBE_SIA,Notes,
N001,N,Gnatholepis cauerensis,Gobiidae,41.69,0.751,g231+N1c,,From boat,
N002,N,Labridae sp,Labridae,NA,NA,g232,,,
N003,N,Chlidichthys chagosensis,Pseudochromidae,32.96,0.383,,s160,,
N004,N,Pristiapogon abrogramma,Apogonidae,31.97,0.283,g233,,,
N005,N,Chlidichthys chagosensis,Pseudochromidae,23.16,0.121,,s161,,
N006,N,Chlidichthys chagosensis,Pseudochromidae,15.98,0.031,,s162,Larvae,
N007,N,Chlidichthys chagosensis,Pseudochromidae,15.97,0.027,,s163,Larvae,
N008,N,Chlidichthys chagosensis,Pseudochromidae,15.28,0.026,,s164,Larvae,
N009,N,Fusigobius duospilus,Gobiidae,16.75,0.034,g234,,,
N010,N,Fusigobius duospilus,Gobiidae,17.49,0.037,g235,,,
N011,N,Trimma haima,Gobiidae,13.28,0.013,g236,,,
N012,N,Eviota guttata,Gobiidae,14.52,0.015,,s165,,
N013,N,Eviota sebreei,Gobiidae,11.89,0.005,,s166,,
N014,N,Eviota cf afelei,Gobiidae,10.43,0.008,,s167,,
N015,N,Eviota cf afelei,Gobiidae,9.47,0.007,,s168,,
N016,N,Eviota cf afelei,Gobiidae,10.18,0.005,,s169,,
N017,N,Eviota zebrina,Gobiidae,9.89,0.004,g237,,,
N018,N,Eviota cf afelei,Gobiidae,9,0.003,,s170,,
N019,N,Eviota cf afelei,Gobiidae,7.03,0.003,,s171,,
O001,O,Ecsenius nalolo,Blenniidae,37.42,0.555,g241,,,
O002,O,Eviota guttata,Gobiidae,24.99,0.148,g242,,,
O003,O,Pomacentrus caeruleus,Pomacentridae,21.91,0.101,g243,,,
O004,O,Pomacentrus caeruleus,Pomacentridae,16.57,0.053,g244,,,
O005,O,Eviota guttata,Gobiidae,20.05,0.079,g245,,,
O006,O,Eviota guttata,Gobiidae,19.85,0.066,g238,,,
O007,O,Eviota guttata,Gobiidae,11.14,0.082,g239,,,
O008,O,Eviota guttata,Gobiidae,14.11,0.128,g240,,,
O009,O,Eviota guttata,Gobiidae,18.58,0.074,g246,,,
O010,O,Glyptoparus delicatulus,Blenniidae,21.86,0.094,g247,,,
O011,O,Eviota guttata,Gobiidae,18.42,0.054,g248,,,
O012,O,Chlidichthys chagosensis,Pseudochromidae,18.56,0.053,,s172,Larvae,
O013,O,Paragobiodon xanthosoma,Gobiidae,16.89,0.071,g249,,,
O014,O,Eviota guttata,Gobiidae,18.26,0.048,g250,,,
O015,O,Barbuligobius boehlkei,Gobiidae,14.6,0.024,g251,,,
O016,O,Eviota guttata,Gobiidae,19.04,0.06,g252,,,
O017,O,Chlidichthys chagosensis,Pseudochromidae,15.19,0.025,,s173,Larvae,
O018,O,Eviota guttata,Gobiidae,14.54,0.02,,s174,,
O019,O,Eviota guttata,Gobiidae,13.67,0.014,,s175,,
O020,O,Eviota guttata,Gobiidae,13.68,0.012,,s176,,
O021,O,Eviota guttata,Gobiidae,13.5,0.013,,s177,,
O022,O,Eviota guttata,Gobiidae,14.18,0.014,,s178,,
O023,O,Priolepis compita,Gobiidae,14.01,0.02,g253,,,
O024,O,Eviota sebreei,Gobiidae,11.29,0.007,,s179,,
O025,O,Glyptoparus delicatulus,Blenniidae,14.27,0.011,g254,,,
O026,O,Eviota cf afelei,Gobiidae,10.8,0.007,,s186,,
O027,O,Eviota sp,Gobiidae,8.52,0.003,g255,,,
O028,O,Eviota cf afelei,Gobiidae,11.12,0.007,,s187,,
P001,P,Fusigobius duospilus,Gobiidae,43.09,0.736,g256,,,
P002,P,Istigobius decoratus,Gobiidae,35.69,0.374,g257,,,
P003,P,Callogobius sclateri,Gobiidae,31.46,0.312,g258,,,
P004,P,Fusigobius duospilus,Gobiidae,26.62,0.139,g259,,,
P005,P,Istigobius decoratus,Gobiidae,22.98,0.085,g260,,,
P006,P,Istigobius decoratus,Gobiidae,22,0.078,g261,,,
P007,P,Callogobius sclateri,Gobiidae,23.26,0.106,g262,,,
P008,P,Pomacentrus caeruleus,Pomacentridae,20.02,0.086,g263,,,
P009,P,Pristiapogon abrogramma,Apogonidae,24.15,0.128,g264,,,
P010,P,Trimma haima,Gobiidae,22.11,0.101,,s188,,
P011,P,Trimma haima,Gobiidae,20.7,0.085,,s189,,
P012,P,Istigobius decoratus,Gobiidae,24.48,0.101,g265,,Larvae,
P013,P,Chlidichthys chagosensis,Pseudochromidae,16.51,0.026,,s190,,
P014,P,Amblygobius semicinctus,Gobiidae,19.06,0.039,g266,,Larvae,
P015,P,Chlidichthys chagosensis,Pseudochromidae,14.52,0.022,,s191,Larvae,
P016,P,Chlidichthys chagosensis,Pseudochromidae,16.06,0.024,,s192,,
P017,P,Eviota guttata,Gobiidae,16.44,0.038,g267,,,
P018,P,Eviota guttata,Gobiidae,15.57,0.02,,s193,,
P019,P,Pleurosicya mossambica,Gobiidae,16.77,0.022,g268,,Larvae,
P020,P,Chlidichthys chagosensis,Pseudochromidae,15.83,0.026,,s194,,
P021,P,Eviota guttata,Gobiidae,15.42,0.014,,s195,eythrosoma?,
P022,P,Apogon sp,Apogonidae,14.84,0.026,g269,,,
P023,P,Trimma haima,Gobiidae,14.22,0.018,,s196,,
P024,P,Trimmatom eviotops,Gobiidae,12.47,0.006,g270,,,
P025,P,Trimmatom eviotops,Gobiidae,11.61,0.005,g271,,,
P026,P,Labridae sp,Labridae,11.77,0.009,g272,,,
P027,P,Eviota sp,Gobiidae,10.39,0.005,g273,,,
P028,P,Eviota sebreei,Gobiidae,11.03,0.002,,s197,,
P029,P,Fusigobius duospilus,Gobiidae,11.67,0.005,g274,,,
P030,P,Eviota sebreei,Gobiidae,10.86,0.002,,s198,Double check,
P031,P,Eviota sebreei,Gobiidae,10.81,0.002,,s199,Same,
P032,P,Eviota sebreei,Gobiidae,10.91,0.002,,s200,,
P033,P,Eviota sp,Gobiidae,10.41,0.001,,s201,,
P034,P,Eviota sp,Gobiidae,10.68,0.002,g275,,,
P035,P,Oplopomus oplopomus,Gobiidae,10.14,0.003,g276,,,
P036,P,Gobiidae sp,Gobiidae,8.77,0.001,g277,,,
P037,P,Gobiidae sp,Gobiidae,9.88,0.002,g278,,,
P038,P,Labridae sp,Labridae,10.54,0.003,g279,,,
P039,P,Eviota sp,Gobiidae,7.51,0.002,g280,,,
P040,P,Eviota cf afelei,Gobiidae,7.95,0.002,g281,,,
P041,P,Istigobius decoratus,Gobiidae,60.75,2.357,g282+P1c,,,
P042,P,Fusigobius duospilus,Gobiidae,54.66,1.94,g283+P1c,,,
P043,P,Sargocentron sp,Holocentridae,52.24,2.286,g284+P1c,,,
Q001,Q,Chlidichthys chagosensis,Pseudochromidae,36.82,0.558,,s202,Larvae,
Q002,Q,Chlidichthys chagosensis,Pseudochromidae,23.03,0.116,,s203,,
Q003,Q,Fusigobius duospilus,Gobiidae,36.28,0.405,g285,,,
Q004,Q,Fusigobius duospilus,Gobiidae,28.83,0.21,g286,,,
Q005,Q,Istigobius decoratus,Gobiidae,30.05,0.191,g287,,,
Q006,Q,Siphamia sp,Apogonidae,18.15,0.052,g288,,,
Q007,Q,Ecsenius nalolo,Blenniidae,20.42,0.067,g289,,,
Q008,Q,Eviota guttata,Gobiidae,18.91,0.06,g290,,Larvae,
Q009,Q,Chlidichthys chagosensis,Pseudochromidae,14.96,0.019,,s204,,
Q010,Q,Eviota guttata,Gobiidae,19.21,0.065,g291,,Larvae,
Q011,Q,Chlidichthys chagosensis,Pseudochromidae,15.67,0.029,,s205,,
Q012,Q,Eviota guttata,Gobiidae,18.26,0.052,,s206,,
Q013,Q,Eviota springeri,Gobiidae,16.37,0.028,g292,,,
Q014,Q,Eviota sebreei,Gobiidae,16.55,0.034,,s207,,
Q015,Q,Eviota guttata,Gobiidae,14.15,0.023,,s208,,
Q016,Q,Eviota infulata,Gobiidae,13.12,0.017,g293,,,
Q017,Q,Eviota infulata,Gobiidae,13.24,0.017,,s209,,
Q018,Q,Pleurosicya mossambica,Gobiidae,13.22,0.018,g294,,,
Q019,Q,Eviota infulata,Gobiidae,13.77,0.016,g295,,,
Q020,Q,Eviota sebreei,Gobiidae,11.06,0.008,,s210,,
Q021,Q,Eviota sebreei,Gobiidae,11.37,0.006,,s211,,
Q022,Q,Eviota guttata,Gobiidae,14.66,0.023,,s212,,
Q023,Q,Eviota guttata,Gobiidae,14.33,0.016,,s213,,
Q024,Q,Labridae sp,Labridae,13.34,0.021,g296,,,
Q025,Q,Pleurosicya mossambica,Gobiidae,13.46,0.018,g297,,,
Q026,Q,Pleurosicya mossambica,Gobiidae,12.94,0.014,g298,,,
Q027,Q,Pleurosicya mossambica,Gobiidae,14.07,0.018,g299,,,
Q028,Q,Gymnapogon cf vanderbilti,Gobiidae,15.47,0.017,g300,,,
Q029,Q,Eviota sp,Gobiidae,13.17,0.012,g301,,,
Q030,Q,Eviota sebreei,Gobiidae,10.34,0.009,,s214,,
Q031,Q,Eviota springeri,Gobiidae,10.64,0.01,s302,,,
Q032,Q,Eviota springeri,Gobiidae,11.16,0.01,s303,,,
Q033,Q,Eviota springeri,Gobiidae,11.18,0.014,s304,,,
Q034,Q,Eviota sebreei,Gobiidae,8.45,0.004,,s215,,
Q035,Q,Eviota sp,Gobiidae,9.46,0.009,g305,,,
Q036,Q,Eviota sp,Gobiidae,8.13,0.006,g306,,,
Q037,Q,Eviota infulata,Gobiidae,7.47,0.001,,s216,,
Q038,Q,Eviota sp,Gobiidae,9.08,0.009,g307,,,
Q039,Q,Fusigobius duospilus,Gobiidae,50.67,1.53,g308,,,
Q040,Q,Fusigobius duospilus,Gobiidae,43.52,0.94,g309,,,
Q041,Q,Fusigobius duospilus,Gobiidae,41.83,0.731,g310,,,
Q042,Q,Muraenidae sp,Muraenidae,61.87,0.264,g311,,,
R001,R,Fusigobius duospilus,Gobiidae,31.9,0.233,g312,,,
R002,R,Vanderhorstia ornatissima,Gobiidae,32.57,0.162,g313,,,
R003,R,Istigobius decoratus,Gobiidae,29.87,0.202,g314,,,
R004,R,Vanderhorstia ornatissima,Gobiidae,29.2,0.132,g315,,,
R005,R,Istigobius decoratus,Gobiidae,24.79,0.115,g316,,,
R006,R,Eviota guttata,Gobiidae,22.23,0.04,g317,,,
R007,R,Trimma haima,Gobiidae,20.04,0.082,,s217,,
R008,R,Trimma haima,Gobiidae,17.32,0.055,,s218,,
R009,R,Istigobius decoratus,Gobiidae,22.27,0.076,g318,,,
R010,R,Pleurosicya mossambica,Gobiidae,19.24,0.057,g319,,,
R011,R,Siphamia sp,Apogonidae,22.14,0.128,g320,,,
R012,R,Vanderhorstia ornatissima,Gobiidae,22.58,0.054,g321,,,
R013,R,Siphamia sp,Apogonidae,22.14,0.135,g322,,,
R014,R,Vanderhorstia ornatissima,Gobiidae,18.79,0.037,g323,,,
R015,R,Trimma haima,Gobiidae,18.62,0.065,,s219,,
R016,R,Trimmatom eviotops,Gobiidae,16.2,0.031,g324,,,
R017,R,Siphamia sp,Apogonidae,18.28,0.073,g325,,,
R018,R,Chlidichthys chagosensis,Pseudochromidae,14.6,0.023,,s220,Larvae,
R019,R,Chlidichthys chagosensis,Pseudochromidae,14.59,0.022,,s221,,
R020,R,Pleurosicya mossambica,Gobiidae,18.84,0.048,g326,,,
R021,R,Amblygobius semicinctus,Gobiidae,16.48,0.037,g327,,,
R022,R,Eviota guttata,Gobiidae,18.87,0.044,g328,,,
R023,R,Trimma haima,Gobiidae,15.31,0.037,,s222,,
R024,R,Eviota sebreei,Gobiidae,17.29,0.043,,s223,,
R025,R,Eviota sebreei,Gobiidae,16.75,0.043,,s224,,
R026,R,Pleurosicya mossambica,Gobiidae,15.55,0.023,g329,,,
R027,R,Chlidichthys chagosensis,Pseudochromidae,13.83,0.021,,s225,Larvae,
R028,R,Trimma haima,Gobiidae,14.16,0.016,,s226,,
R029,R,Gobiidae sp,Gobiidae,18.16,0.03,g330,,,
R030,R,Gobiidae sp,Gobiidae,16.6,0.033,g331,,,
R031,R,Eviota sebreei,Gobiidae,15.25,0.018,,s227,,
R032,R,Eviota sebreei,Gobiidae,14.06,0.017,,s228,,
R033,R,Trimmatom eviotops,Gobiidae,12.86,0.014,g332,,,
R034,R,Pleurosicya mossambica,Gobiidae,15.29,0.022,g333,,,
R035,R,Pleurosicya mossambica,Gobiidae,13.47,0.018,g334,,,
R036,R,Amblygobius semicinctus,Gobiidae,15,0.027,g335,,,
R037,R,Pleurosicya mossambica,Gobiidae,15.77,0.026,g336,,,
R038,R,Siphamia sp,Apogonidae,13.8,0.02,g337,,,
R039,R,Eviota sebreei,Gobiidae,14.11,0.014,,s229,,
R040,R,Amblygobius semicinctus,Gobiidae,13.94,0.01,g338,,,
R041,R,Pleurosicya mossambica,Gobiidae,14.33,0.017,g339,,,
R042,R,Eviota sebreei,Gobiidae,10.92,0.008,,s230,,
R043,R,Trimma haima,Gobiidae,11.6,0.009,,s231,,
R044,R,Eviota sebreei,Gobiidae,10.79,0.006,,s232,,
R045,R,Gobiidae sp,Gobiidae,13.63,0.015,g340,,,
R046,R,Labridae sp,Labridae,12.97,0.016,g341,,,
R047,R,Pleurosicya mossambica,Gobiidae,10.9,0.008,g342,,,
R048,R,Eviota sebreei,Gobiidae,13.2,0.016,,s233,,
R049,R,Amblygobius semicinctus,Gobiidae,13.42,0.015,g343,,,
R050,R,Eviota sebreei,Gobiidae,10.63,0.005,,s234,,
R051,R,Eviota sebreei,Gobiidae,11.19,0.007,,s235,,
R052,R,Pleurosicya mossambica,Gobiidae,11.4,0.007,g344,,,
R053,R,Pleurosicya mossambica,Gobiidae,10.82,0.004,g345,,,
R054,R,Eviota sebreei,Gobiidae,10.4,0.005,,s236,,
R055,R,Eviota sebreei,Gobiidae,11.11,0.006,,s237,,
R056,R,Eviota sebreei,Gobiidae,12.02,0.009,,s238,,
R057,R,Pleurosicya mossambica,Gobiidae,NA,0.007,g346,,,
R058,R,Eviota sebreei,Gobiidae,10.28,0.008,,s239,,
R059,R,Pleurosicya mossambica,Gobiidae,10.63,0.003,g347,,,
R060,R,Eviota sp,Gobiidae,9.9,0.004,g348,,,
R061,R,Gobiidae sp,Gobiidae,9.48,0.006,g349,,,
R062,R,Gobiidae sp,Gobiidae,10.43,0.005,g350,,,
R063,R,Apogonidae sp,Apogonidae,10.89,0.011,g351,,,
R064,R,Amblygobius semicinctus,Gobiidae,83.69,6.201,R1c,,,
R065,R,Fusigobius duospilus,Gobiidae,53.32,1.753,g352+R1,,,
R066,R,Istigobius decoratus,Gobiidae,38.23,0.526,g353,,,
R067,R,Chlidichthys chagosensis,Pseudochromidae,38.59,0.609,g354,s240,,
R068,R,Chlidichthys chagosensis,Pseudochromidae,34.7,0.424,,s241,,
R069,R,Chlidichthys chagosensis,Pseudochromidae,35.19,0.542,,s242,,
R070,R,Istigobius decoratus,Gobiidae,28.22,0.202,g355,,,
R071,R,Siphamia sp,Apogonidae,25.23,0.204,g356,,,
R072,R,Pristiapogon abrogramma,Apogonidae,98.66,13.166,R2c,,,
S001,S,Istigobius decoratus,Gobiidae,27.08,0.164,g357,,,
S002,S,Trimma haima,Gobiidae,22.1,0.099,,s243,,
S003,S,Pleurosicya mossambica,Gobiidae,23.67,0.101,g358,,,
S004,S,Trimma haima,Gobiidae,21.82,0.105,,s244,,
S005,S,Chlidichthys chagosensis,Pseudochromidae,25.67,0.156,,s245,,
S006,S,Amblygobius hectori,Gobiidae,15.67,0.029,g359,,,
S007,S,Fusigobius duospilus,Gobiidae,15.46,0.115,g360,,,
S008,S,Pleurosicya mossambica,Gobiidae,19.41,0.05,g361,,,
S009,S,Trimma haima,Gobiidae,17.1,0.043,,s246,,
S010,S,Istigobius decoratus,Gobiidae,21.66,0.07,g362,,,
S011,S,Pleurosicya mossambica,Gobiidae,20.3,0.056,g363,,,
S012,S,Trimmatom eviotops,Gobiidae,17.46,0.047,g364,,,
S013,S,Callogobius sclateri,Gobiidae,19.2,0.07,g365,,,
S014,S,Pleurosicya mossambica,Gobiidae,18.5,0.047,g366,,,
S015,S,Pleurosicya mossambica,Gobiidae,21.76,0.077,g367,,,
S016,S,Pleurosicya mossambica,Gobiidae,16.79,0.036,g368,,,
S017,S,Fowleria marmorata,Apogonidae,16.29,0.058,g369,,,
S018,S,Ecsenius nalolo,Blenniidae,18.44,0.05,g370,,,
S019,S,Pleurosicya mossambica,Gobiidae,21.41,0.072,g371,,,
S020,S,Trimma haima,Gobiidae,17.18,0.038,,s247,,
S021,S,Trimma haima,Gobiidae,16.42,0.033,,s248,,
S022,S,Chlidichthys chagosensis,Pseudochromidae,14.03,0.024,,s249,Larvae,
S023,S,Istigobius decoratus,Gobiidae,17.36,0.04,g372,,,
S024,S,Pleurosicya mossambica,Gobiidae,18.3,0.041,g373,,,
S025,S,Priolepis compita,Gobiidae,16.17,0.048,g374,,,
S026,S,Eviota guttata,Gobiidae,17.32,0.043,g375,,,
S027,S,Pleurosicya mossambica,Gobiidae,16.58,0.029,g376,,,
S028,S,Pleurosicya mossambica,Gobiidae,16.87,0.029,g377,,,
S029,S,Cheilodipterus sp,Apogonidae,17.77,0.047,g378,,,
S030,S,Eviota guttata,Gobiidae,17.9,0.056,g379,,,
S031,S,Trimmatom eviotops,Gobiidae,15.07,0.026,g380,,,
S032,S,Istigobius sp,Gobiidae,14.17,0.02,g381,,,
S033,S,Trimma naudei,Gobiidae,13.26,0.02,g382,,,
S034,S,Pleurosicya mossambica,Gobiidae,16.52,0.028,g383,,,
S035,S,Eviota prasina,Gobiidae,14.14,0.025,g384,,,To barcode for comparison?
S036,S,Eviota guttata,Gobiidae,14.87,0.028,g385,,,
S037,S,Chlidichthys chagosensis,Pseudochromidae,15.09,0.032,,s250,Larvae,
S038,S,Pleurosicya mossambica,Gobiidae,15.92,0.025,g386,,,
S039,S,Trimma haima,Gobiidae,11.85,0.013,,s251,,
S040,S,Eviota guttata,Gobiidae,14.31,0.019,,s252,,
S041,S,Amblygobius semicinctus,Gobiidae,16.62,0.023,g387,,,
S042,S,Pleurosicya mossambica,Gobiidae,15.18,0.023,g388,,,
S043,S,Amblygobius semicinctus,Gobiidae,16.51,0.04,g389,,,
S044,S,Amblygobius semicinctus,Gobiidae,15.04,0.026,g390,,,
S045,S,Siphamia sp,Apogonidae,15.01,0.045,g391,,,
S046,S,Eviota guttata,Gobiidae,13.88,0.016,,s253,,
S047,S,Amblygobius hectori,Blenniidae,20.67,0.059,g392,,,
S048,S,Eviota guttata,Gobiidae,14.07,0.021,,s254,,
S049,S,Labridae sp,Labridae,12.75,0.019,g393,,,
S050,S,Pleurosicya plicata,Gobiidae,14.3,0.026,g394,,,
S051,S,Pleurosicya mossambica,Gobiidae,11.6,0.01,g395,,,
S052,S,Eviota sebreei,Gobiidae,14.75,0.023,,s255,,
S053,S,Eviota infulata,Gobiidae,12.08,0.017,,s256,,
S054,S,Eviota guttata,Gobiidae,13.84,0.016,,s257,,
S055,S,Oplopomus oplopomus,Gobiidae,12.47,0.02,g396,,,
S056,S,Eviota springeri,Gobiidae,12.47,0.014,g397,,,
S057,S,Amblygobius semicinctus,Gobiidae,13.07,0.015,g398,,,
S058,S,Eviota springeri,Gobiidae,9.85,0.01,g399,,,
S059,S,Eviota sp,Gobiidae,9.38,0.008,g400,,,
S060,S,Amblygobius semicinctus,Gobiidae,13.32,0.013,g401,,,
S061,S,Fusigobius duospilus,Gobiidae,11.72,0.014,g402,,,
S062,S,Apogon sp,Apogonidae,9.5,0.01,g403,,,
S063,S,Apogon sp,Apogonidae,8.55,0.01,g404,,,
S064,S,Pleurosicya mossambica,Gobiidae,13.75,0.009,g405,,,
S065,S,Eviota sp,Gobiidae,11.04,0.012,g406,,distigma?,
S066,S,Amblygobius semicinctus,Gobiidae,12.74,0.013,g407,,,
S067,S,Eviota sp,Gobiidae,9.55,0.005,g408,,distigma?,
S068,S,Eviota springeri,Gobiidae,10,0.008,g409,,,
S069,S,Eviota sp,Gobiidae,10.32,0.009,g410,,,
S070,S,Oplopomus oplopomus,Gobiidae,11.7,0.008,g411,,,
S071,S,Fusigobius duospilus,Gobiidae,11.11,0.01,g412,,,
S072,S,Gobiidae sp,Gobiidae,11.63,0.005,g413,,,
S073,S,Pleurosicya plicata,Gobiidae,11.11,0.007,g414,,,
S074,S,Apogonidae sp,Apogonidae,10.16,0.015,g415,,,
S075,S,Amblygobius semicinctus,Gobiidae,NA,NA,g416,,,
S076,S,Oplopomus oplopomus,Gobiidae,13.33,0.011,g417,,,
S077,S,Pleurosicya plicata,Gobiidae,7.25,0.006,g418,,,
S078,S,Eviota sp,Gobiidae,10.58,0.009,g419,,,
S079,S,Oplopomus oplopomus,Gobiidae,10.32,0.006,g420,,,
S080,S,Eviota infulata,Gobiidae,8.61,0.006,,s258,,
S081,S,Eviota sp,Gobiidae,7.49,0.005,g421,,,
S082,S,Pleurosicya mossambica,Gobiidae,8.46,0.004,g422,,,
S083,S,Eviota infulata,Gobiidae,6.67,0.004,g423,,,
S084,S,Fusigobius duospilus,Gobiidae,36.8,0.51,g424,,,
S085,S,Priolepis cincta,Gobiidae,31.74,0.347,g425,,,
S086,S,Pristiapogon abrogramma,Apogonidae,29.05,0.272,g426,,,
S087,S,Pristiapogon abrogramma,Apogonidae,32.8,0.39,g427,,,
S088,S,Pristiapogon abrogramma,Apogonidae,24.17,0.136,g428,,,
S089,S,Pristiapogon abrogramma,Apogonidae,24.18,0.152,g429,,,
S090,S,Pristiapogon abrogramma,Apogonidae,19.74,0.084,g430,,,
S091,S,Pristiapogon abrogramma,Apogonidae,28.44,0.255,g431,,,
S092,S,Pristiapogon abrogramma,Apogonidae,32.47,0.439,g432,,,
S093,S,Cheilodipterus quinquelineatus,Apogonidae,30.08,0.237,g433,,,
S094,S,Fusigobius duospilus,Gobiidae,29.82,0.269,g434,,,
S095,S,Istigobius decoratus,Gobiidae,27.8,0.218,g435,,,
S096,S,Asterropteryx semipunctata,Gobiidae,25.24,0.202,g436,,,
S097,S,Vanderhorstia ornatissima,Gobiidae,28.74,0.133,g437,,,
S098,S,Vanderhorstia ornatissima,Gobiidae,26.19,0.099,g438,,,
S099,S,Trimma haima,Gobiidae,19.15,0.076,,s259,,
S100,S,Apogon coccineus,Apogonidae,38.27,0.889,g439,,,
S101,S,Chlidichthys chagosensis,Pseudochromidae,40.12,0.719,g440,s260,,
S102,S,Chlidichthys chagosensis,Pseudochromidae,40.25,0.754,g441,s261,,
S103,S,Asterropteryx semipunctata,Gobiidae,26.6,0.276,g442,,,
S104,S,Fowleria marmorata,Apogonidae,30.93,0.475,g443,,,
S105,S,Muraenidae sp,Muraenidae,26.03,0.738,S1c,,,
S106,S,Pristiapogon abrogramma,Apogonidae,104.09,14.303,S1c,,,
S107,S,Pristiapogon abrogramma,Apogonidae,59.3,2.577,S1c,,,
T001,T,Siphamia mossambica,Apogonidae,31.31,0.405,g444,,,
T002,T,Siphamia mossambica,Apogonidae,32.22,0.469,g445,,,
T003,T,Siphamia mossambica,Apogonidae,28.09,0.275,g446,,,
T004,T,Siphamia mossambica,Apogonidae,25.71,0.237,g447,,,
T005,T,Siphamia mossambica,Apogonidae,21.32,0.159,g448,,,
T006,T,Siphamia mossambica,Apogonidae,20.79,0.123,g449,,,
T007,T,Siphamia mossambica,Apogonidae,19.86,0.097,g450,,,
T008,T,Siphamia mossambica,Apogonidae,20.19,0.099,g451,,,
T009,T,Siphamia mossambica,Apogonidae,14.6,0.04,g452,,,
T010,T,Gobiodon rivulatus,Gobiidae,25.79,0.351,g453,,,
T011,T,Scorpaenodes sp,Scorpaenidae,24.76,0.253,g454,,,
T012,T,Scorpaenodes sp,Scorpaenidae,25.45,0.312,g455,,,
T013,T,Trimma haima,Gobiidae,21.28,0.088,,s262,,
T014,T,Enneapterygius abeli,Tripterygiidae,22.15,0.102,g456,,,
T015,T,Trimmatom eviotops,Gobiidae,18.11,0.057,g457,,,
T016,T,Trimmatom eviotops,Gobiidae,17.55,0.047,g458,,,
T017,T,Eviota guttata,Gobiidae,18.93,0.048,g459,,,
T018,T,Eviota sp,Gobiidae,18.63,0.072,g460,,,
T019,T,Eviota sp,Gobiidae,17.26,0.06,g461,,,
T020,T,Eviota nebulosa,Gobiidae,17.1,0.042,,s263,,
T021,T,Eviota guttata,Gobiidae,17.08,0.038,g462,,,
T022,T,Eviota guttata,Gobiidae,16.28,0.034,g463,,,
T023,T,Eviota guttata,Gobiidae,15.48,0.022,,s264,,
T024,T,Eviota guttata,Gobiidae,14.9,0.021,,s265,,
T025,T,Eviota guttata,Gobiidae,14.2,0.017,,s266,,
T026,T,Trimmatom eviotops,Gobiidae,15.02,0.022,g464,,,
T027,T,Eviota nebulosa,Gobiidae,14.83,0.02,,s267,,
T028,T,Eviota nebulosa,Gobiidae,11.28,0.013,,s268,,
T029,T,Eviota sp,Gobiidae,11.89,0.012,g465,,,
T030,T,Eviota nebulosa,Gobiidae,10.09,0.007,,s269,,
T031,T,Cabillus tongarevae,Gobiidae,13.39,0.017,g466,,,
T032,T,Cabillus tongarevae,Gobiidae,16.7,0.038,g467,,,
U001,U,Synodontidae sp,Synodontidae,74.39,3.529,U1c,,,
U002,U,Cirrhitihthys oxycephalus,Cirrhitidae,53.3,2.459,U1c,,,
U003,U,Apogon semiornatus,Apogonidae,43.7,1.278,U1c,,,
U004,U,Pseudocheilinus hexataenia,Labridae,42.19,1.421,U1c,,,
U005,U,Chlidichthys chagosensis,Pseudochromidae,41.49,0.885,g468,s270,,
U006,U,Chlidichthys chagosensis,Pseudochromidae,35.89,0.554,,s271,,
U007,U,Chlidichthys chagosensis,Pseudochromidae,22.69,0.14,,s272,,
U008,U,Doryrhamphus excisus,Syngnathidae,40.3,0.098,,,,
U009,U,Gobiodon rivulatus,Gobiidae,31.02,0.666,g469,,,
U010,U,Gobiodon rivulatus,Gobiidae,40.52,0.621,g470,,,
U011,U,Ostorhinchus angustatus,Apogonidae,30.07,0.528,g471,,,
U012,U,Ostorhinchus angustatus,Apogonidae,35.44,0.182,g472,,,
U013,U,Scorpaenodes sp,Scorpaenidae,32.35,0.646,g473,,,
U014,U,Scorpaenodes sp,Scorpaenidae,29.18,0.636,g474,,,
U015,U,Pseudogramma polyacantha,Serranidae,23.06,0.179,g475,,,
U016,U,Pseudogramma polyacantha,Serranidae,26.28,0.279,g476,,,
U017,U,Ostorhinchus angustatus,Apogonidae,27.27,0.209,g477,,,
U018,U,Trimma haima,Gobiidae,18.96,0.07,,s273,,
U019,U,Eviota guttata,Gobiidae,18.72,0.069,,s274,,
U020,U,Eviota guttata,Gobiidae,18.34,0.057,,s275,,
U021,U,Eviota guttata,Gobiidae,18.19,0.057,,s276,,
U022,U,Labridae sp,Labridae,18.45,0.059,g478,,Juv Coris picta?,
U023,U,Eviota nebulosa,Gobiidae,15.91,0.052,,s277,,
U024,U,Eviota sebreei,Gobiidae,14.46,0.026,,s278,,
U025,U,Labridae sp,Labridae,17.6,0.058,g479,,,
U026,U,Labridae sp,Labridae,15.04,0.028,g480,,,
U027,U,Eviota nebulosa,Gobiidae,14.86,0.028,,s279,,
U028,U,Eviota springeri,Gobiidae,14.28,0.029,g481,,,
U029,U,Eviota nebulosa,Gobiidae,11.43,0.015,,s280,,
U030,U,Eviota sebreei,Gobiidae,11.98,0.016,,s281,,
U031,U,Scorpaenodes parvipinnis,Scorpaenidae,12.01,0.057,g482,,,
U032,U,Enneapterygius abeli,Tripterygiidae,13.06,0.014,g483,,,
V001,V,Chromis nigrura,Pomacentridae,51.56,1.773,V1c,,,
V002,V,Chromis nigrura,Pomacentridae,55.04,2.275,V1c,,,
V003,V,Chromis nigrura,Pomacentridae,37.19,0.69,g484,,,
V004,V,Chromis nigrura,Pomacentridae,34.65,0.592,g485,,,
